UID,FRP,Previous_Box,NMR_Sample_map
2022-06-25_3328_7,,"Box_1_2024_6,Box_2_2024_3",NMR_B4_17
2022-06-27_3323_10,,Box_1_2024_60,NMR_B4_18
2022-06-25_3349_5,,"Box_1_2024_63,Box_2_2024_36",NMR_B4_19
2022-06-25_3307_4,,"Box_1_2024_64,Box_2_2024_44",NMR_B4_20
2022-06-24_3156_20,,Box_1_2024_65,NMR_B4_21
2022-06-27_3088_25,,Box_1_2024_66,NMR_B4_22
2022-06-27_3333_9,,"Box_1_2024_67,Box_2_2024_56",NMR_B4_23
2022-06-26_3304_5,,"Box_1_2024_73,Box_1_2024_81",NMR_B4_24
2022-06-24_3178_13,,Box_1_2024_74,NMR_B4_25
2022-06-23_3175_10,,"Box_1_2024_75,Box_1_2024_46",NMR_B4_26
2022-06-28_3104_2,,"Box_1_2024_77,Box_2_2024_39",NMR_B4_27
2022-06-26_3322_11,,Box_1_2024_79,NMR_B4_28
2022-06-27_3102_7,,Box_1_2024_80,NMR_B4_29
2022-06-27_3351_15,,Box_1_2024_9,NMR_B4_30
2022-03-14_2855_4,,"Box_10_2024_1,Box_10_2024_2",NMR_B4_31
2022-03-27_2976_15,,Box_10_2024_11,NMR_B4_32
2022-03-22_2958_7,,Box_10_2024_23,NMR_B4_33
2022-03-22_2962_4,,Box_10_2024_27,NMR_B4_34
2022-03-14_3250_2,,Box_10_2024_4,NMR_B4_35
2022-12-08_3865_16,,"Box_10_2024_45,Box_5_2024_24",NMR_B4_36
2022-12-09_3868_20,,"Box_10_2024_46,Box_6_2024_60",NMR_B4_37
2022-03-17_2786_15,,Box_10_2024_5,NMR_B4_38
2022-03-15_2899_2,,Box_10_2024_6,NMR_B4_39
2022-12-12_3671_5,,"Box_10_2024_61,Box_8_2024_50",NMR_B4_40
2020-02-15_2298_4,,"Box_10_2024_66,Box_10_2024_67",NMR_B4_41
2022-03-15_2574_4,,"Box_10_2024_7,Box_6_2024_36,Box_9_2024_8",NMR_B4_42
2022-08-04_2870_9,,"Box_11_2024_15,Box_3_2024_4,Box_12_2024_37",NMR_B4_43
2022-07-28_3447_16,,"Box_11_2024_16,Box_4_2024_48,Box_12_2024_12",NMR_B4_44
2022-07-21_2518_16,,"Box_11_2024_17,Box_14_2024_69,Box_14_2024_15",NMR_B4_45
2022-07-23_3262_5,,"Box_11_2024_2,Box_11_2024_58,Box_12_2024_56",NMR_B4_46
2022-07-27_3459_11,,"Box_11_2024_23,Box_11_2024_61,Box_12_2024_9",NMR_B4_47
2022-07-28_2893_3,,"Box_11_2024_3,Box_3_2024_3",NMR_B4_48
3463_19,,"Box_11_2024_50,Box_14_2024_8,Box_13_2024_15",NMR_B4_49
2022-07-27_3480_6,,"Box_11_2024_55,Box_14_2024_20,Box_14_2024_48",NMR_B4_50
2022-08-04_3302_4,,"Box_11_2024_6,Box_14_2024_5,Box_4_2024_37",NMR_B4_51
2022-07-19_3445_7,,"Box_11_2024_69,Box_12_2024_32,Box_13_2024_33",NMR_B4_52
2022-07-28_3421_20,,"Box_11_2024_7,Box_4_2024_16,Box_13_2024_16",NMR_B4_53
2022-07-21_3455_6,,"Box_11_2024_74,Box_4_2024_30,Box_11_2024_66",NMR_B4_54
2022-07-27_2770_1,,"Box_11_2024_77,Box_14_2024_47,Box_14_2024_37",NMR_B4_55
3315_18,,"Box_11_2024_79,Box_4_2024_41",NMR_B4_56
2022-07-22_3440_9,,"Box_12_2024_1,Box_13_2024_32,Box_4_2024_12",NMR_B4_57
2022-06-24_3191_24,,Box_12_2024_14,NMR_B4_58
2022-08-03_2828_16,,"Box_12_2024_26,Box_14_2024_58,Box_12_2024_2",NMR_B4_59
2022-07-21_3436_13,,"Box_12_2024_33,Box_14_2024_16",NMR_B4_60
2022-08-03_3430_17,,"Box_12_2024_41,Box_11_2024_14",NMR_B4_61
2022-08-04_2816_20,,"Box_12_2024_43,Box_12_2024_11,Box_13_2024_39",NMR_B4_62
2022-07-21_3412_10,,"Box_12_2024_48,Box_13_2024_12,Box_3_2024_26",NMR_B4_63
2022-07-28_3313_8,,"Box_12_2024_49,Box_11_2024_46,Box_12_2024_57",NMR_B4_64
2022-07-21_3314_20,,"Box_12_2024_62,Box_13_2024_10,Box_3_2024_18",NMR_B4_65
2022-07-22_3317_4,,"Box_12_2024_73,Box_4_2024_31,Box_3_2024_13",NMR_B4_66
2022-06-24_3144_4,,"Box_13_2024_17,Box_1_2024_21,Box_1_2024_59",NMR_B4_67
2022-07-21_3313_17,,"Box_13_2024_19,Box_4_2024_51,Box_13_2024_53",NMR_B4_68
2022-08-04_3179_6,,"Box_13_2024_27,Box_14_2024_34,Box_11_2024_73",NMR_B4_69
2022-07-23_3423_4,,"Box_13_2024_30,Box_12_2024_15,Box_3_2024_70",NMR_B4_70
2022-07-19_3448_10,,"Box_13_2024_38,Box_3_2024_75,Box_14_2024_81",NMR_B4_71
2022-07-18_3457_8,,"Box_13_2024_4,Box_12_2024_58,Box_3_2024_34",NMR_B4_72
2022-07-28_3464_11,,"Box_13_2024_51,Box_14_2024_43,Box_13_2024_44",NMR_B4_73
2022-08-03_3229_14,,"Box_13_2024_54,Box_11_2024_65",NMR_B4_74
2022-07-28_3499_9,,"Box_14_2024_12,Box_14_2024_71,Box_12_2024_3",NMR_B4_75
2022-07-21_2876_14,,"Box_14_2024_46,Box_11_2024_52",NMR_B5_1
2022-06-28_3085_19,,"Box_14_2024_6,Box_2_2024_19",NMR_B5_2
2022-07-28_2766_15,,"Box_14_2024_61,Box_4_2024_60,Box_14_2024_65",NMR_B5_3
2022-07-28_3235_5,,"Box_14_2024_68,Box_14_2024_67",NMR_B5_4
2022-07-21_2539_2,,"Box_14_2024_73,Box_4_2024_21,Box_3_2024_62",NMR_B5_5
2022-07-23_3230_7,,"Box_14_2024_74,Box_14_2024_24,Box_4_2024_25",NMR_B5_6
2022-07-22_3310_5,,"Box_14_2024_76,Box_12_2024_25,Box_14_2024_78",NMR_B5_7
2022-06-28_3321_8,,"Box_2_2024_1,Box_2_2024_20",NMR_B5_8
2022-06-25_3306_14,,"Box_2_2024_10,Box_1_2024_25",NMR_B5_9
2022-06-27_3141_18,,Box_2_2024_23,NMR_B5_10
2022-06-25_3334_8,,Box_2_2024_28,NMR_B5_11
2022-06-26_3308_4,,Box_2_2024_31,NMR_B5_12
2022-06-27_3107_1,,Box_2_2024_32,NMR_B5_13
2022-06-25_3137_10,,Box_2_2024_33,NMR_B5_14
2022-06-26_3194_7,,"Box_2_2024_34,Box_1_2024_10",NMR_B5_15
2022-06-24_3354_5,,"Box_2_2024_37,Box_1_2024_69,Box_1_2024_51",NMR_B5_16
2022-06-28_3343_17,,"Box_2_2024_38,Box_2_2024_70",NMR_B5_17
2022-06-26_3050_15,,"Box_2_2024_4,Box_2_2024_51,Box_2_2024_18",NMR_B5_18
2022-06-27_3103_2,,"Box_2_2024_45,Box_1_2024_54",NMR_B5_19
2022-06-28_3091_1,,"Box_2_2024_47,Box_1_2024_49,Box_2_2024_65",NMR_B5_20
2022-06-28_3355_12,,Box_2_2024_5,NMR_B5_21
2022-06-26_3352_20,,Box_2_2024_50,NMR_B5_22
2022-06-26_3134_13,,"Box_2_2024_61,Box_1_2024_76",NMR_B5_23
2022-06-25_3168_3,,"Box_2_2024_62,Box_2_2024_24",NMR_B5_24
2022-06-27_3336_12,,"Box_2_2024_64,Box_1_2024_19,Box_1_2024_37",NMR_B5_25
