StudyID,Who,Population,Sex,N,Biome,Country,Lattitude,Longitude,Region,SerumLevel_mg_dL,SL_SD_mg_dL,HDL_Chol_mg_dL,HDL_SD_mg_dL,LDL_Chol_mg_dL,LDL_SD_mg_dL,Triglyceride_Chol_mg_dL,Triglyceride_SD_mg_dL,ANCESTRY,study_ID_Ancestry
CAN1,VEDHIKA,Rural Chinese,M/F,3,Tropical Desert,China,23,113,Asia,124.9041,NA,NA,NA,NA,NA,41.6279,NA,Chinese,CAN1
CAN1,VEDHIKA,Rural Chinese,M/F,1,Tropical Desert,China,23,113,Asia,136.8918,NA,NA,NA,NA,NA,82.3701,NA,Chinese,CAN1
CAN1,VEDHIKA,Rural Chinese,M/F,14,Tropical Desert,China,23,113,Asia,155.8401,NA,NA,NA,NA,NA,58.4562,NA,Chinese,CAN1
CHN19-A,Gisele,Chinese,M,150,Tropical desert,China,23.1291,113.2644,Asia,159.2,3.2,46.2,1.5,NA,NA,NA,NA,Chinese,CHN10
CHN19-A,Gisele,Chinese,F,150,Tropical desert,China,23.1291,113.2644,Asia,160.8,3.58,44.2,0.92,NA,NA,NA,NA,Chinese,CHN10
CAN1,VEDHIKA,Rural Chinese,M/F,14,Tropical Desert,China,23,113,Asia,163.5741,NA,NA,NA,NA,NA,87.6843,NA,Chinese,CAN1
CHN19-B,Gisele,Chinese,F,92,Tropical desert,China,26.6476,106.6302,Asia,164,4.81,45.9,1.21,NA,NA,NA,NA,Chinese,CHN10
SID1-B,"EM,BEVERLY",South Indian,M/F,783,Tropical Desert,India,13.03,80.23,Asia,165.5076,36.7365,NA,NA,NA,NA,112.4839,69.9703,SA_Indegenous,SID1-A
CAN1,VEDHIKA,Rural Chinese,M/F,16,Tropical Desert,China,23,113,Asia,165.5076,NA,NA,NA,NA,NA,72.6274,NA,Chinese,CAN1
CAN1,VEDHIKA,Rural Chinese,M/F,16,Tropical Desert,China,23,113,Asia,169.3746,NA,NA,NA,NA,NA,86.7986,NA,Chinese,CAN1
CAN1,VEDHIKA,Rural Chinese,M/F,"24, 8",Tropical Desert,China,23,113,Asia,175.5618,NA,NA,NA,NA,NA,NA,NA,Chinese,CAN1
CHN19-B,Gisele,Chinese,M,98,Tropical desert,China,26.6476,106.6302,Asia,176.7,7.01,44.6,1.01,NA,NA,NA,NA,Chinese,CHN10
SID1-A,"EM,BEVERLY",South Indian,M/F,479,Tropical Desert,India,13.09,80.2,Asia,190.2564,39.8301,NA,NA,NA,NA,132.855,79.713,SA_Indegenous,SID1-A
CAN1,VEDHIKA,Rural Chinese,M/F,8,Tropical Desert,China,23,113,Asia,205.3377,NA,NA,NA,NA,NA,95.6556,NA,Chinese,CAN1
CHN15-C,Ashley,Chinese Rural,F,,Tropical desert,China,23.1291,113.2644,Asia,NA,NA,53,13,99,32,100,74,NA,NA
CHN15-B,Ashley,Chinese Urban,M,,Tropical desert,China,23.1291,113.2644,Asia,NA,NA,54,15,117,38,126,102,NA,NA
CHN15-C,Ashley,Chinese Rural,M,,Tropical desert,China,23.1291,113.2644,Asia,NA,NA,54,16,98,33,115,82,NA,NA
CHN15-B,Ashley,Chinese Urban,F,,Tropical desert,China,23.1291,113.2644,Asia,NA,NA,58,14,117,38,129,108,NA,NA
MALA5,CB,Malay,M,17,Tropical Rainforest,Malaysia,5,103,Asia,56,49,NA,NA,NA,NA,145,93,Malaysian,MALA11
MALA5,CB,Malay,M,31,Tropical Rainforest,Malaysia,5,103,Asia,141,31,NA,NA,NA,NA,136,47,Malaysian,MALA11
CHN9,EM,Chinese,M/F,246,Tropical Rainforest,China,30.53,117.12,Asia,141.7,NA,62.1,NA,61.7,NA,91.5,NA,Chinese,CHN10
CHN9,EM,Chinese,M/F,995,Tropical Rainforest,China,30.53,117.12,Asia,151.8,NA,60.8,NA,73.2,NA,89.9,NA,Chinese,CHN10
MALA9-D,Emily,Kensiu,M,7,tropical rainforest,Malaysia,5.777649,100.908823,Asia,153.5199,3.0936,NA,NA,NA,NA,NA,NA,Austroasiatic,MALA9-D
CHN9,EM,Chinese,M/F,546,Tropical Rainforest,China,30.53,117.12,Asia,154.6,NA,61.8,NA,73.2,NA,97.9,NA,Chinese,CHN10
MALA5,CB,Malay,M,25,Tropical Rainforest,Malaysia,5,103,Asia,156,34,NA,NA,NA,NA,165,74,Malaysian,MALA11
BGD1-B,EM,Bangladeshi,M/F,499,Tropical Rainforest,Bangladesh,24.63,90.27,Asia,156.36,52.85,41.14,14.4,NA,NA,161.46,84.05,Bangladeshi,BGD1
CHN9,EM,Chinese,M/F,378,Tropical Rainforest,China,30.53,117.12,Asia,161.6,NA,67.3,NA,75.4,NA,101.7,NA,Chinese,CHN10
BGD1-A,EM,Bangladeshi,M/F,1060,Tropical Rainforest,Bangladesh,24.63,90.27,Asia,162.51,65.11,39.47,13.8,NA,NA,166.59,94.99,Bangladeshi,BGD1
